"","id_estudante","genero","idade","zona","escola","monitor","grupo","dfs1","dfs2","dfs3","dfs4","dfs5","dfs6","dfs7","dfs8","dfs9","media_dfs","fss1","fss2","fss3","fss4","fss5","fss6","fss7","fss8","fss9","media_fss"
"156","E156","F",12,"",6,"VL","Experimental",5,3,5,4,5,3,2,3,5,3.888888889,4,2,5,4,4,"5",5,4,4,4.111111111
"157","E157","M",11,"Urbana",1,"PR","Controle",4,1,2,3,3,5,1,2,1,2.444444444,4,1,4,3,4,"2",4,1,3,2.888888889
"158","E158","F",10,"Urbana",1,"PR","Controle",2,5,3,2,3,5,3,1,3,3,4,4,2,3,3,"2",2,4,2,2.888888889
"159","E159","M",15,"Urbana",1,"PR","Controle",3,1,1,3,3,5,1,1,1,2.111111111,2,2,2,3,2,"3",1,2,3,2.222222222
"160","E160","M",11,"Urbana",1,"PR","Controle",5,1,5,5,5,5,5,1,5,4.111111111,5,2,5,5,4,"5",2,5,4,4.111111111
"161","E161","F",10,"Urbana",1,"PR","Controle",4,2,3,3,2,3,3,2,4,2.888888889,1,5,2,4,3,"3",4,2,5,3.222222222
"162","E162","F",11,"Urbana",1,"PR","Controle",4,3,4,3,3,3,4,1,5,3.333333333,3,3,4,3,4,"3",1,5,4,3.333333333
"163","E163","M",10,"Urbana",1,"PR","Controle",4,4,4,3,2,4,2,3,4,3.333333333,3,4,4,3,5,"5",4,5,3,4
"164","E164","M",12,"Urbana",1,"PR","Controle",1,2,1,1,2,1,2,1,1,1.333333333,1,5,1,2,4,"1",4,4,2,2.666666667
"165","E165","F",10,"Urbana",1,"PR","Controle",5,2,3,5,5,3,1,3,5,3.555555556,5,4,4,4,5,"4",5,4,4,4.333333333
"166","E166","M",12,"Urbana",1,"PR","Controle",3,1,2,3,2,5,1,3,5,2.777777778,3,4,3,1,3,"3",2,5,2,2.888888889
"168","E168","F",11,"Rural",1,"PR","Controle",2,1,5,2,NA,2,3,3,4,2.75,3,2,4,4,4,"4",4,4,4,3.666666667
"169","E169","F",11,"Urbana",1,"PR","Controle",3,2,5,4,5,3,1,4,3,3.333333333,2,2,4,3,4,"3",5,3,4,3.333333333
"172","E172","F",11,"Urbana",1,"PR","Controle",2,1,3,5,5,5,1,3,5,3.333333333,2,4,5,2,5,"5",4,5,5,4.111111111
"173","E173","M",11,"Urbana",1,"PR","Controle",4,3,4,4,3,4,2,3,4,3.444444444,3,3,2,3,4,"3",2,3,4,3
"175","E175","M",10,"Urbana",1,"PR","Controle",4,3,2,3,1,5,1,2,3,2.666666667,4,2,4,4,4,"4",2,4,2,3.333333333
"176","E176","M",11,"Urbana",1,"PR","Controle",2,3,1,3,2,2,3,2,3,2.333333333,4,3,2,4,3,"4",1,4,5,3.333333333
"177","E177","F",11,"Urbana",1,"PR","Controle",3,2,5,5,3,2,3,3,5,3.444444444,4,3,4,4,3,"4",4,4,3,3.666666667
"178","E178","M",11,"Urbana",2,"MM","Controle",5,5,4,3,3,3,3,4,5,3.888888889,4,2,4,4,5,"4",5,4,5,4.111111111
"179","E179","F",11,"Urbana",2,"MM","Controle",2,3,4,3,3,4,1,3,4,3,2,2,3,2,2,"3",2,3,3,2.444444444
"180","E180","M",11,"Urbana",2,"MM","Controle",1,NA,5,3,2,4,1,2,1,2.375,3,2,3,4,3,"3",2,3,4,3
"181","E181","M",11,"Urbana",2,"MM","Controle",5,3,5,3,5,3,1,1,3,3.222222222,4,3,4,5,4,"4",1,4,5,3.777777778
"183","E183","F",11,"Rural",2,"MM","Controle",4,3,2,4,2,3,4,2,5,3.222222222,5,3,4,5,2,"3",NA,5,3,3.75
"184","E184","F",10,"Urbana",2,"MM","Controle",2,2,5,3,5,4,5,3,4,3.666666667,4,5,4,4,5,"4",4,4,5,4.333333333
"185","E185","F",11,"Urbana",2,"MM","Controle",3,2,5,5,3,3,3,4,5,3.666666667,4,5,4,1,5,"5",4,5,2,3.888888889
"186","E186","M",11,"Urbana",2,"MM","Controle",3,4,5,5,4,5,3,3,5,4.111111111,4,4,3,4,4,"4",4,3,4,3.777777778
"188","E188","M",11,"Rural",2,"MM","Controle",2,4,3,1,5,NA,1,3,4,2.875,3,2,4,1,5,"3",2,4,3,3
"189","E189","M",11,"Urbana",2,"MM","Controle",4,3,4,3,5,5,5,3,4,4,3,5,3,4,5,"3",5,3,3,3.777777778
"191","E191","M",13,"",2,"MM","Controle",3,5,5,3,1,4,3,5,2,3.444444444,3,4,1,2,3,"4",5,1,5,3.111111111
"195","E195","M",16,"Urbana",2,"AC","Controle",5,1,3,3,5,5,4,4,2,3.555555556,3,1,5,4,2,"3",1,4,5,3.111111111
"196","E196","M",11,"Urbana",2,"AC","Controle",3,1,3,1,5,3,5,4,5,3.333333333,4,5,3,4,4,"5",4,3,4,4
"197","E197","F",11,"Urbana",2,"AC","Controle",5,3,5,4,5,3,5,3,3,4,3,3,3,3,4,"3",4,4,4,3.444444444
"198","E198","F",10,"Rural",2,"AC","Controle",3,4,3,4,5,3,3,4,3,3.555555556,3,2,1,2,4,"3",2,4,3,2.666666667
"199","E199","M",12,"Urbana",2,"AC","Controle",2,4,3,5,3,4,2,4,2,3.222222222,5,4,3,4,3,"5",3,2,4,3.666666667
"200","E200","F",11,"Urbana",2,"AC","Controle",3,5,2,2,3,NA,5,5,5,3.75,3,1,2,3,1,"3",4,2,5,2.666666667
"201","E201","M",10,"Rural",2,"AC","Controle",5,3,4,2,3,5,4,3,5,3.777777778,1,3,2,2,3,"2",3,1,2,2.111111111
"205","E205","M",NA,"",2,"AC","Controle",1,2,4,5,3,2,4,3,5,3.222222222,5,3,4,1,2,"3",4,5,1,3.111111111
"206","E206","M",12,"",2,"AC","Controle",2,5,4,2,5,1,4,2,1,2.888888889,5,2,1,3,5,"2",1,5,1,2.777777778
"207","E207","F",12,"",2,"AC","Controle",5,3,1,3,4,3,4,3,4,3.333333333,4,3,2,3,5,"5",NA,4,5,3.875
"208","E208","M",12,"",2,"AC","Controle",4,5,4,5,4,5,5,5,3,4.444444444,4,3,4,5,4,"5",4,4,4,4.111111111
"209","E209","F",13,"",2,"AC","Controle",3,3,5,5,5,4,3,3,3,3.777777778,3,2,3,4,2,"4",3,5,3,3.222222222
"211","E211","F",10,"Rural",3,"ML","Controle",5,5,5,5,5,5,1,5,5,4.555555556,4,3,4,4,4,"4",5,5,4,4.111111111
"212","E212","M",11,"Rural",3,"ML","Controle",5,5,5,4,5,3,1,3,5,4,5,3,3,2,2,"3",4,3,2,3
"213","E213","M",12,"Urbana",3,"ML","Controle",4,2,4,3,4,2,4,3,5,3.444444444,3,4,2,5,3,"2",3,5,NA,3.375
"214","E214","M",12,"Rural",3,"ML","Controle",3,2,3,5,3,3,2,3,4,3.111111111,5,3,4,4,NA,"4",3,2,3,3.5
"215","E215","F",11,"Rural",3,"ML","Controle",3,1,4,5,5,5,3,1,5,3.555555556,4,1,4,4,2,"4",3,3,3,3.111111111
"216","E216","M",10,"Rural",3,"ML","Controle",5,NA,5,3,3,3,1,5,5,3.75,2,4,2,2,3,"3",2,4,4,2.888888889
"217","E217","F",10,"Rural",3,"ML","Controle",5,4,5,4,5,5,2,5,5,4.444444444,4,5,5,4,5,"4",3,5,4,4.333333333
"218","E218","M",11,"Rural",3,"ML","Controle",3,4,5,3,5,5,2,3,5,3.888888889,5,3,3,1,2,"4",2,4,1,2.777777778
"219","E219","F",13,"Rural",3,"ML","Controle",4,3,4,3,4,3,1,3,5,3.333333333,4,2,3,4,4,"4",4,4,4,3.666666667
"220","E220","M",12,"Rural",3,"ML","Controle",3,4,3,4,1,3,1,2,4,2.777777778,3,4,2,3,2,"4",5,5,3,3.444444444
"221","E221","F",11,"Rural",3,"ML","Controle",4,5,5,3,4,2,1,3,4,3.444444444,2,4,2,3,4,"3",4,4,3,3.222222222
"222","E222","F",NA,"",3,"ML","Controle",3,3,5,3,1,1,3,3,5,3,4,4,4,2,4,"4",2,4,2,3.333333333
"223","E223","F",NA,"",3,"ML","Controle",3,3,1,3,5,3,1,3,5,3,4,3,4,3,4,"4",2,4,4,3.555555556
"224","E224","M",NA,"",3,"ML","Controle",5,5,5,5,3,5,1,5,5,4.333333333,4,3,5,1,5,"2",5,4,2,3.444444444
"225","E225","F",NA,"",3,"ML","Controle",5,5,5,5,2,5,1,3,5,4,4,4,4,2,4,"4",2,4,4,3.555555556
"226","E226","F",11,"Urbana",4,"CE","Controle",NA,3,2,4,1,NA,NA,3,1,2.333333333,5,5,4,2,5,"4",5,4,2,4
"227","E227","F",12,"Rural",4,"CE","Controle",4,3,5,5,4,3,4,5,3,4,4,3,2,4,3,"2",3,4,3,3.111111111
"228","E228","M",14,"Urbana",4,"CE","Controle",1,3,2,3,2,1,2,4,5,2.555555556,5,4,4,2,4,"4",2,4,4,3.666666667
"230","E230","F",11,"Rural",4,"CE","Controle",4,3,5,3,4,3,3,2,4,3.444444444,5,4,5,5,3,"3",5,4,5,4.333333333
"231","E231","M",13,"Urbana",4,"CE","Controle",3,5,5,3,1,5,3,3,5,3.666666667,4,3,2,1,2,"3",4,5,4,3.111111111
"232","E232","F",11,"Rural",4,"CE","Controle",3,3,3,1,3,2,3,5,5,3.111111111,3,4,4,4,2,"1",3,4,1,2.888888889
"233","E233","M",10,"Urbana",4,"CE","Controle",4,3,5,4,5,3,3,3,4,3.777777778,4,5,4,3,4,"3",4,4,3,3.777777778
"235","E235","M",10,"Rural",4,"CE","Controle",3,4,5,4,5,3,2,1,5,3.555555556,1,2,3,4,5,"1",3,2,4,2.777777778
"237","E237","F",12,"Rural",4,"CE","Controle",4,3,4,5,5,3,1,3,5,3.666666667,4,4,4,2,4,"4",4,5,3,3.777777778
"238","E238","M",11,"Urbana",4,"CE","Controle",3,1,3,3,1,1,3,3,1,2.111111111,3,3,3,2,2,"4",3,3,4,3
"239","E239","F",12,"Rural",4,"CE","Controle",3,5,4,5,2,5,1,3,1,3.222222222,4,1,5,2,4,"2",2,2,5,3
"240","E240","F",11,"Urbana",4,"CE","Controle",4,3,4,5,5,3,1,3,5,3.666666667,3,2,4,4,3,"5",1,4,3,3.222222222
"241","E241","M",10,"Rural",4,"CE","Controle",4,3,4,NA,5,NA,3,4,5,4,4,2,3,2,3,"4",3,4,1,2.888888889
"242","E242","F",11,"Rural",4,"CE","Controle",3,1,4,5,5,5,1,3,5,3.555555556,3,4,3,3,4,"4",4,3,3,3.444444444
"243","E243","F",13,"Rural",4,"CE","Controle",4,NA,5,5,4,4,5,4,4,4.375,5,4,3,4,3,"5",3,5,3,3.888888889
"244","E244","M",11,"Urbana",5,"GR","Controle",3,3,5,3,5,5,1,3,5,3.666666667,4,2,4,2,4,"4",3,3,4,3.333333333
"245","E245","M",11,"Urbana",5,"GR","Controle",3,5,4,5,5,3,5,4,3,4.111111111,4,2,4,2,3,"4",4,3,4,3.333333333
"246","E246","F",11,"Urbana",5,"GR","Controle",5,4,5,4,5,5,1,3,5,4.111111111,4,4,3,4,4,"4",3,3,4,3.666666667
"247","E247","F",10,"Urbana",5,"GR","Controle",4,1,5,2,4,5,5,3,5,3.777777778,4,1,4,2,2,"5",2,4,5,3.222222222
"248","E248","M",10,"Urbana",5,"GR","Controle",3,3,5,2,3,5,3,2,5,3.444444444,4,4,NA,5,2,"3",3,2,2,3.125
"249","E249","F",11,"Urbana",5,"GR","Controle",3,1,3,2,3,5,2,3,2,2.666666667,4,4,3,2,4,"2",4,4,4,3.444444444
"250","E250","M",11,"Urbana",5,"GR","Controle",1,3,5,3,1,3,4,1,5,2.888888889,4,4,3,2,4,"4",4,2,2,3.222222222
"252","E252","F",11,"Urbana",5,"GR","Controle",5,5,5,4,5,5,2,5,4,4.444444444,5,4,5,3,5,"4",4,5,4,4.333333333
"253","E253","M",NA,"",5,"GR","Controle",5,3,5,1,1,5,3,3,5,3.444444444,4,3,3,4,1,"5",3,3,3,3.222222222
"254","E254","M",11,"",5,"GR","Controle",3,4,4,4,4,5,4,5,4,4.111111111,5,4,3,4,4,"3",5,4,4,4
"255","E255","M",13,"Urbana",5,"GR","Controle",2,3,3,4,2,3,2,3,5,3,4,2,4,4,4,"4",2,4,4,3.555555556
"256","E256","F",13,"Urbana",5,"GR","Controle",4,3,1,5,2,3,1,3,1,2.555555556,5,4,3,2,1,"2",4,3,2,2.888888889
"257","E257","F",NA,"",5,"GR","Controle",1,5,2,4,5,1,3,1,4,2.888888889,2,4,1,5,2,"3",2,5,4,3.111111111
"260","E260","F",11,"Urbana",5,"JC","Controle",3,3,5,3,3,3,4,3,3,3.333333333,3,4,3,3,3,"3",3,4,3,3.222222222
"261","E261","F",11,"Urbana",5,"JC","Controle",4,3,5,4,4,5,3,3,3,3.777777778,4,5,4,5,5,"4",4,4,4,4.333333333
"262","E262","F",0,"Urbana",5,"JC","Controle",1,1,2,1,3,4,4,5,3,2.666666667,3,4,3,4,2,"3",4,4,3,3.333333333
"263","E263","F",11,"Rural",5,"JC","Controle",3,3,4,2,5,5,4,4,5,3.888888889,4,5,4,3,4,"1",4,1,2,3.111111111
"264","E264","M",11,"Urbana",5,"JC","Controle",3,4,3,2,5,3,1,5,3,3.222222222,4,2,4,4,4,"2",4,4,4,3.555555556
"265","E265","M",11,"Urbana",5,"JC","Controle",5,5,2,5,5,5,5,3,3,4.222222222,3,4,4,3,5,"3",3,3,3,3.444444444
"266","E266","M",10,"Urbana",5,"JC","Controle",5,1,5,5,5,5,1,5,5,4.111111111,4,4,4,4,4,"4",5,4,4,4.111111111
"267","E267","M",12,"Urbana",5,"JC","Controle",4,4,4,5,5,4,1,4,4,3.888888889,4,5,3,3,3,"3",3,3,4,3.444444444
"269","E269","F",11,"Urbana",5,"JC","Controle",4,4,5,5,5,4,1,2,5,3.888888889,4,5,4,4,5,"5",3,4,4,4.222222222
"270","E270","M",11,"Urbana",5,"JC","Controle",2,2,5,3,5,3,3,4,2,3.222222222,4,4,4,4,4,"4",3,3,3,3.666666667
"271","E271","F",10,"Rural",5,"JC","Controle",3,1,2,3,5,2,1,4,1,2.444444444,2,1,5,3,5,"2",5,4,5,3.555555556
"272","E272","M",11,"Urbana",5,"JC","Controle",1,2,3,1,1,2,3,2,3,2,2,3,1,3,3,"2",3,1,1,2.111111111
"273","E273","M",NA,"",5,"JC","Controle",3,2,3,2,5,4,1,3,2,2.777777778,1,2,3,4,5,"4",3,4,3,3.222222222
"274","E274","M",NA,"",5,"JC","Controle",5,4,2,3,2,3,1,5,4,3.222222222,3,3,2,NA,3,"3",3,NA,2,2.714285714
"275","E275","F",10,"",5,"JC","Controle",2,3,2,3,4,5,1,3,2,2.777777778,5,5,4,2,4,"4",4,5,4,4.111111111
"277","E277","M",11,"",5,"MF","Controle",3,4,5,4,4,4,5,5,5,4.333333333,4,3,4,3,2,"2",5,4,2,3.222222222
"278","E278","F",12,"",5,"MF","Controle",5,3,5,3,NA,5,5,5,5,4.5,4,4,4,4,4,"4",2,4,4,3.777777778
"279","E279","M",11,"",5,"MF","Controle",5,3,5,5,5,5,2,2,3,3.888888889,4,4,3,4,NA,"2",4,4,4,3.625
"280","E280","F",11,"",5,"MF","Controle",3,1,3,5,5,5,1,2,1,2.888888889,3,4,4,4,5,"4",5,3,2,3.777777778
"282","E282","F",11,"",5,"MF","Controle",2,3,4,4,5,4,3,4,3,3.555555556,4,3,3,4,NA,"4",5,4,3,3.75
"284","E284","M",11,"",5,"MF","Controle",5,5,5,5,5,5,3,3,5,4.555555556,4,3,5,4,5,"4",4,5,4,4.222222222
"285","E285","M",11,"",5,"MF","Controle",5,3,5,2,4,2,4,5,1,3.444444444,3,2,5,1,3,"4",2,3,4,3
"286","E286","M",11,"",5,"MF","Controle",2,3,4,3,2,NA,2,4,3,2.875,4,2,3,5,1,"4",3,2,3,3
"287","E287","M",12,"",5,"MF","Controle",3,3,5,3,4,3,5,3,NA,3.625,2,4,3,4,2,"5",2,4,1,3
"290","E290","M",11,"",5,"MF","Controle",3,5,5,1,3,2,3,4,3,3.222222222,2,1,4,3,NA,"2",4,2,4,2.75
"291","E291","F",NA,"",5,"MF","Controle",3,3,5,5,5,5,2,1,3,3.555555556,4,4,2,4,4,"4",4,4,4,3.777777778
"293","E293","M",11,"",5,"EA","Controle",1,3,2,3,5,3,2,4,5,3.111111111,1,2,2,4,3,"3",2,3,3,2.555555556
"294","E294","F",10,"",5,"EA","Controle",1,4,2,3,3,4,5,3,4,3.222222222,5,4,5,2,4,"4",5,4,4,4.111111111
"295","E295","M",11,"",5,"EA","Controle",4,3,5,4,3,5,3,4,5,4,4,3,4,3,2,"4",2,5,4,3.444444444
"296","E296","F",10,"",5,"EA","Controle",3,3,3,3,3,3,2,1,3,2.666666667,2,3,2,3,4,"3",5,2,2,2.888888889
"297","E297","M",12,"",5,"EA","Controle",2,3,2,3,4,2,1,3,5,2.777777778,2,3,2,4,2,"3",2,4,5,3
"298","E298","F",11,"",5,"EA","Controle",5,4,2,5,2,5,NA,5,3,3.875,4,5,3,4,4,"3",4,4,1,3.555555556
"299","E299","F",11,"",5,"EA","Controle",4,4,4,3,5,4,5,4,3,4,3,2,2,4,4,"3",3,3,4,3.111111111
"300","E300","M",12,"",5,"EA","Controle",3,4,5,4,3,4,4,3,4,3.777777778,4,4,5,3,5,"5",4,4,4,4.222222222
"301","E301","F",11,"",5,"EA","Controle",4,4,3,5,4,3,2,2,4,3.444444444,5,2,1,4,4,"5",4,5,3,3.666666667
"303","E303","F",12,"",5,"EA","Controle",5,3,5,5,3,5,3,5,2,4,4,3,5,4,5,"4",4,5,5,4.333333333
"304","E304","M",11,"",5,"EA","Controle",1,2,3,2,4,2,4,2,3,2.555555556,3,1,2,3,3,"4",2,3,4,2.777777778
"305","E305","M",12,"",5,"EA","Controle",5,5,4,3,3,3,4,4,3,3.777777778,5,2,4,4,4,"2",2,4,2,3.222222222
"306","E306","F",10,"",5,"EA","Controle",3,1,5,3,1,3,5,3,1,2.777777778,3,4,2,4,2,"4",1,3,4,3
"307","E307","M",11,"",5,"EA","Controle",5,5,4,3,3,3,4,4,3,3.777777778,5,5,4,3,4,"2",4,5,4,4
"309","E309","M",11,"",6,"VL","Controle",5,3,4,2,4,3,2,3,4,3.333333333,4,2,4,4,4,"4",2,4,2,3.333333333
"311","E311","M",11,"",6,"VL","Controle",2,3,5,3,3,3,3,3,4,3.222222222,4,4,4,1,4,"4",4,4,4,3.666666667
"313","E313","F",10,"",6,"VL","Controle",3,3,3,4,1,3,3,4,1,2.777777778,3,4,2,2,4,"4",2,4,4,3.222222222
"314","E314","F",10,"",6,"VL","Controle",3,3,5,3,5,5,5,3,5,4.111111111,3,3,2,2,3,"2",3,3,2,2.555555556
"315","E315","M",11,"",6,"VL","Controle",2,3,5,4,4,3,3,3,4,3.444444444,4,4,3,3,4,"3",4,5,3,3.666666667
"316","E316","F",10,"",6,"VL","Controle",3,2,5,3,4,3,3,3,5,3.444444444,3,3,4,4,3,"4",4,5,4,3.777777778
"318","E318","M",11,"",6,"VL","Controle",3,5,5,5,4,4,1,2,4,3.666666667,3,2,3,4,3,"4",4,4,4,3.444444444
"319","E319","M",11,"",6,"VL","Controle",3,4,5,4,5,5,3,1,3,3.666666667,2,2,3,4,4,"3",4,5,3,3.333333333
"320","E320","F",10,"",6,"VL","Controle",2,3,5,5,5,3,3,3,2,3.444444444,4,2,3,4,4,"3",4,5,4,3.666666667
"322","E322","F",11,"",6,"VL","Controle",3,5,5,3,5,3,3,3,5,3.888888889,3,4,4,4,3,"3",4,4,4,3.666666667
"323","E323","F",11,"",6,"VL","Controle",1,5,5,3,5,3,3,2,5,3.555555556,4,2,4,4,4,"3",4,5,4,3.777777778
